,municipio,escrutinio,input_text,target_text
5213,Sant Antoni de Vilamajor,94.02,CANVI | 25.31 | 4 | 1 más && PUSA | 24.69 | 3 | <null> && JUNTS | 23.86 | 3 | <null> && ERC-AM | 23.69 | 3 | 0,"Con un 94.02% de los votos escrutados, CANVI triunfaría en las elecciones municipales de Sant Antoni de Vilamajor con cuatro concejales, lo cual supondría un representante más que durante los pasados comicios en esta localidad. Según la información ofrecida en este momento por el Ministerio del Interior, Canvi - Candidatura per Vilamajor se habría hecho con un 25,31% del electorado que le valdría para estar por delante del PUSA, que con tres representantes, conseguiría el mismo número que en las anteriores votaciones en esta localidad; Junts per Sant Antoni de Vilamajor, con tres; y ERC-AM, que con un 23,69% obtendría tres miembros del Ayuntamiento. "
6008,Don Benito,30.99,PSOE | 55.38 | 14 | 1 más && PP | 23.62 | 5 | 3 menos && Cs | 9.72 | 2 | <null> && VOX | 4.68 | 0 | <null> && I.U. | 2.89 | 0 | <null> && PODEMOS | 2.58 | 0 | <null>,"Cuando el recuento de votos correspondiente a las elecciones municipales alcanza el 30.99%, el PSOE ganaría en Don Benito con 14 concejales, lo cual significaría un asiento más que durante los pasados comicios en esta localidad. De acuerdo a los datos que se manejan hasta el momento, la organización de Ferraz se haría con un 55,38% de los votos en juego, seguido del PP, con cinco ediles (23,62% de las papeletas); y de Cs, con dos asientos (9,72%). "
6639,Pazos de Borbén,47.29,PP | 42.81 | 6 | 0 && AV.1 | 27.74 | 3 | 1 menos && Cs | 17.65 | 2 | <null> && PSOE | 6.35 | 0 | 1 menos && BNG | 5.04 | 0 | 0,"Cuando el recuento de votos correspondiente a las elecciones municipales alcanza el 47.29%, el PP se impondría en Pazos de Borbén con seis concejales, lo cual supondría el mismo número de asientos que durante la pasada edición de los comicios en esta localidad. El partido de Génova acapararía un 42,81% de los votos, mientras que en segundo lugar aparecería AV, que habría conseguido tres ediles (27,74%); seguido de Cs, con un 17,65% de las papeletas y dos asientos. Peor suerte correrían el PsdeG-PSOE, que con un 6,35% no se sentaría en el Salón de Plenos; y BNG, que nuevamente se quedaría a las puertas del concejo municipal al obtener el 5,04%."
2745,"Ventas con Peña Aguilera, Las",45.15,PP | 61.77 | 6 | <null> && PSOE | 37.35 | 3 | <null> && PODEMOS.IU | 0.44 | 0 | <null>,"El PP sería la fuerza política preferida en Las Ventas con Peña Aguilera, al hacerse con seis concejales cuando el recuento de las elecciones municipales alcanza el 45.15% de escrutinio, lo cual supondría una cantidad similar que en los pasados comicios. El partido de Génova habría logrado un 61,77% de los votos, mientras que en segundo lugar aparecería el PSOE, que con tres ediles conseguiría el mismo número que en las anteriores votaciones en el municipio. A las puertas del Salón de Plenos se quedaría Podemos-IU, como ya ocurrió en los comicios anteriores, con un 0,44%."
476,Zalamea la Real,95.71,PSOE | 50.3 | 6 | 1 más && ADELANTE | 28.05 | 3 | <null> && PP | 19.83 | 2 | 1 más && IxH | 1.24 | 0 | <null>,"Con un 95.71% de los votos escrutados, el PSOE-A vencería en las elecciones municipales de Zalamea la Real con seis concejales, lo cual se traduciría en un representante más que durante los pasados comicios en esta localidad. El 50,3% de los votos le habría servido a la formación socialista para superar a Izquierda Unida Zalamea la Real Adelante Podemos y al PP, que obtendrían tres (28,05%) y dos ediles (19,83%), respectivamente. A las puertas del Salón de Plenos se quedaría IxH-Nerva, como ya ocurrió en los comicios anteriores, con un 1,24%."
1785,Liérganes,97.79,ULP | 42.55 | 5 | 0 && PP | 38.61 | 4 | 1 menos && P.R.C. | 17.61 | 2 | 1 más,"Cuando el recuento de votos correspondiente a las elecciones municipales alcanza el 97.79%, Unión por Lierganes y Pamanes se impondría en Liérganes con cinco concejales, lo cual se traduciría en el mismo número de asientos que durante los anteriores comicios en esta localidad. Union por Lierganes y Pamanes acapararía un 42,55% de los votos, mientras que en segundo lugar aparecería el PP, que habría conseguido cuatro ediles (38,61%); seguido del Partido Regionalista de Cantabria, con un 17,61% de las papeletas y dos asientos. "
5962,Salou,45.61,JUNTS | 25.95 | 7 | <null> && PSOE | 17.22 | 5 | 1 más && ERC-AM | 16.16 | 4 | 2 más && Cs | 14.54 | 4 | <null> && PP | 5.4 | 1 | 1 menos && SR.2 | 4.64 | 0 | <null> && VOX | 4.3 | 0 | <null> && PODEMOS | 4.18 | 0 | <null> && UNIDOS SALOU | 3.55 | 0 | <null> && C. TGN | 2.3 | 0 | <null>,"Cuando el recuento de votos correspondiente a las elecciones municipales alcanza el 45.61%, Sumem per Salou (Sumem per Salou - Junts) se impondría en Salou con siete concejales. De acuerdo a los datos ofrecidos por el Ministerio del Interior, la candidatura soberanista habría conseguido la primera plaza gracias al 25,96% de los votos. En segunda posición estaría el PSC-CP (17,22%), con cinco concejales; seguido de ERC-AM (16,16%), con cuatro; mientras que Cs y el PP ocuparían asientos en el Ayuntamiento con cuatro y un representante, respectivamente. Peor suerte correrían SR, que con un 4,64% no se sentaría en el Salón de Plenos; y Vox, que nuevamente se quedaría a las puertas del concejo municipal al obtener el 4,3%."
3325,Valle de Mena,30.91,PSOE | 53.73 | 6 | 0 && PP | 30.77 | 4 | 0 && VM | 13.63 | 1 | 1 más,"Cuando el recuento de votos correspondiente a las elecciones municipales alcanza el 30.91%, el PSOE se impondría en Valle de Mena con seis concejales, lo que supondría una cantidad similar que en los pasados comicios. El 53,73% de las papeletas le habría servido a la formación socialista para superar al PP y a Vecinos de Mena, Agrupación de Electores, que obtendrían cuatro (30,77%) y un edil (13,63%), respectivamente. "
5138,Mataró,65.66,PSOE | 38.74 | 13 | 7 más && ERC-AM | 26.19 | 8 | 4 más && BARCELONA EN COMÚ-ECG | 6.74 | 2 | <null> && JUNTS | 6.53 | 2 | <null> && Cs | 6.14 | 2 | <null> && Capgirem BCN - AMUNT | 4.72 | 0 | <null> && VOX | 4.09 | 0 | <null> && PP | 3.79 | 0 | 2 menos && PRIMÀRIES | 1.69 | 0 | <null> && F! | 0.93 | 0 | <null>,"Con un 65.66% de los votos escrutados, el PSC-CP triunfaría en las elecciones municipales de Mataró con 13 concejales, lo cual significaría siete representantes más que en los pasados comicios. De acuerdo a los datos ofrecidos por el Ministerio del Interior, la formación socialista habría conseguido la primera plaza gracias al 38,73% de los votos. En segunda posición estaría ERC-MES-AM (26,2%), con ocho concejales; seguido de ECPM-ECG (6,74%), con dos; mientras que Junts per Mataró y Cs ocuparían asientos en el Consistorio con dos y dos representantes, respectivamente. Tal resultado dejaría sin representación a CUP-Amunt, opción elegida por el 4,72%; y a Vox, con un 4,09%."
6648,Ribadumia,29.41,IR | 54.44 | 8 | 3 más && PP | 24.22 | 3 | 3 menos && PSOE | 9.78 | 1 | 0 && MAREAS  LOCAIS | 7.04 | 1 | <null> && BNG | 3.78 | 0 | 0,"Con un 29.41% de los votos escrutados, IR se impondría en las elecciones municipales de Ribadumia con ocho concejales, lo cual se traduciría en tres representantes más que en los pasados comicios. Según la información ofrecida en este momento por el Ministerio del Interior, Independientes por Ribadumia se habría hecho con un 54,44% del electorado que le serviría para estar por delante del PP, que conseguiría tres representantes, tres menos que en las anteriores votaciones en esta localidad; el PsdeG-PSOE, que se mantendría con un concejal; y Somos Ribadumia - Mareas Locais, que con un 7,04% obtendría un miembro del Ayuntamiento. A las puertas del Salón de Plenos se quedaría BNG, como ya ocurrió en los comicios anteriores, con un 3,78%."
6832,Villamanta,30.08,PSOE | 45.26 | 5 | 0 && PP | 33.0 | 4 | 1 menos && VOX | 7.71 | 1 | <null> && Cs | 7.56 | 1 | <null> && PODEMOS | 6.17 | 0 | <null>,"Cuando el recuento de votos correspondiente a las elecciones municipales alcanza el 30.08%, el PSOE se impondría en Villamanta con cinco concejales, lo cual supondría el mismo número de representantes que durante la pasada edición de los comicios en esta localidad. Gracias al 45,26% de los votos, la organización de Ferraz se habría impuesto al PP, que con cuatro ediles ostentaría la segunda plaza por delante de Vox, con uno; y Cs, que obtendría un miembro del Ayuntamiento. El 6,17% alcanzado por Podemos sería insuficiente para entrar en el concejo municipal."
313,Jayena,81.21,PSOE | 65.75 | 6 | 1 más && PP | 34.11 | 3 | 1 menos,"El PSOE-A sería la fuerza política más votada en Jayena, al hacerse con seis concejales cuando el recuento de las elecciones municipales llega al 81.21% de escrutinio, lo cual significaría uno más que los registrados en la región durante los anteriores comicios. La formación socialista se habría hecho con el 65,75% de los votos, porcentaje que le valdría para estar por delante del PP, que se haría con tres ediles, uno menos que en la pasada ocasión en este municipio, según los datos ofrecidos hasta el momento por el Ministerio del Interior. "
2578,Almorox,79.83,PP | 48.29 | 6 | 1 más && PSOE | 47.79 | 5 | 1 más && Cs | 2.83 | 0 | <null>,"Cuando el recuento de votos correspondiente a las elecciones municipales alcanza el 79.83%, el PP se impondría en Almorox con seis concejales, lo cual se traduciría en un asiento más que durante los pasados comicios en esta localidad. El partido de Génova se habría hecho con el 48,29% de los votos, porcentaje que le valdría para estar por delante del PSOE, que con cinco concejales, obtendría uno más que en las anteriores votaciones en esta localidad, según los datos ofrecidos hasta el momento por el Ministerio del Interior. A las puertas del Salón de Plenos se quedaría Cs, que perdería todos sus miembros del Cabildo, con un 2,83%."
6235,Jerte,75.29,PSOE | 55.53 | 5 | 1 menos && PP | 33.99 | 3 | 1 más && PODEMOS.IU | 9.43 | 1 | <null>,"El PSOE sería la fuerza política más votada en Jerte, al hacerse con cinco concejales cuando el recuento de las elecciones municipales supera el 75.29% de escrutinio, lo cual significaría un asiento menos que durante los anteriores comicios en esta localidad. El 55,53% de los votos le habría servido a la formación socialista para superar al PP y a Equo-Podemos-IU, que obtendrían tres (33,99%) y un edil (9,43%), respectivamente. "
7233,Ordizia,91.0,EH Bildu | 40.38 | 7 | <null> && EAJ-PNV | 37.5 | 7 | 2 más && PODEMOS.IU | 10.23 | 2 | <null> && PSOE | 9.58 | 1 | 0 && PP | 1.36 | 0 | 0,"EH Bildu y EAJ-PNV empatarían a siete concejales en Ordizia cuando el recuento de votos emitidos en las elecciones municipales alcanza el 91.0%. En términos porcentuales, la coalición de izquierda “abertzale” sería la fuerza política preferida, con un 40,38%, lo que significaría un mejor resultado en la región que en los pasados comicios, pues se traduce en dos asientos más. El mismo número de ediles conseguiría la formación nacionalista vasca pese a hacerse con un porcentaje menor, del 37,5%, mientras que Elkarrekin Podemos - Ordizia Orain y el PSOE consegurían representación, con un 10,23% y un 9,58%, respectivamente. A las puertas del Salón de Plenos se quedaría el PP, como ya ocurrió en los comicios anteriores, con un 1,36%."
2674,Navalcán,50.8,PSOE | 69.25 | 8 | 1 más && PP | 30.17 | 3 | 1 menos,"Con un 50.8% de los votos escrutados, el PSOE triunfaría en las elecciones municipales de Navalcán con ocho concejales, lo cual significaría uno más que los registrados en la región durante los anteriores comicios. Atendiendo a los datos que se tienen en este momento, la primera plaza ocupada por la organización de Ferraz respondería al 69,25% de los votos. El segundo puesto quedaría en manos del PP, que lograría tres concejales, uno menos que en la pasada ocasión en este municipio. "
1557,Noreña,88.32,IPÑ | 43.34 | 7 | 3 más && PSOE | 22.29 | 3 | 0 && IU-IAS | 8.45 | 1 | <null> && C.A. NOREÑA | 7.63 | 1 | <null> && Cs | 6.9 | 1 | <null> && PP | 6.0 | 0 | 1 menos && VOX | 3.14 | 0 | <null> && FAC | 1.21 | 0 | <null>,"IPÑ sería la fuerza política más votada en Noreña, al hacerse con siete concejales cuando el recuento de las elecciones municipales supera el 88.32% de escrutinio, lo que supondría un mejor resultado en la región que en los comicios anteriores, pues se traduce en tres representantes más. Independientes por Noreña habría obtenido un 43,34% de los votos, mientras que en la segunda plaza se situaría el PSOE, que con tres concejales, obtendría el mismo número que en las anteriores votaciones en esta localidad; seguido de IU - iAs Noreña por la Izquierda, con uno. Por detrás estarían CA Noreña, con un miembro del Ayuntamiento y un 7,63% de los votos; y Cs, con uno y un 6,9%. Peor suerte correrían el PP, que con un 6% no se sentaría en el Salón de Plenos; y Vox, que nuevamente se quedaría a las puertas del concejo municipal al obtener el 3,14%."
6675,Alpedrete,61.08,PP | 22.86 | 4 | 2 menos && PSOE | 15.92 | 3 | 0 && Cs | 13.75 | 3 | <null> && UN.P.A. | 13.74 | 2 | 1 menos && ALPEDRETE PUEDE | 12.96 | 2 | 2 menos && VOX | 11.14 | 2 | <null> && UNIDAS IU/RPS | 6.86 | 1 | <null> && UCIN | 1.91 | 0 | <null>,"Con un 61.08% de los votos escrutados, el PP triunfaría en las elecciones municipales de Alpedrete con cuatro concejales, lo cual supondría un peor resultado en el municipio que en 2015, pues se traduce en tres asientos menos. El partido de Génova habría obtenido un 22,86% de los votos, mientras que en la segunda plaza se situaría el PSOE, que con tres ediles conseguiría el mismo número que en las anteriores votaciones en el municipio; seguido de Cs, con tres, y Unión del Pueblo de Alpedrete, que habría conseguido dos. En quinto lugar estaría Alpedrete Puede, con dos asientos y un 12,96%, lo que le colocaría por encima de Vox, que con un 11,14% de los votos se quedaría con dos; y de Unidad IU, con un edil (6,86%). Fuera estaría UCIN, como ya ocurrió en los comicios anteriores, al recabar un 1,91% de apoyos."
6693,Bustarviejo,77.73,PP | 38.91 | 5 | 2 más && AVB.1 | 27.14 | 3 | <null> && PSOE | 20.2 | 2 | <null> && PODEMOS.IU | 13.04 | 1 | <null>,"Con un 77.73% de los votos escrutados, el PP vencería en las elecciones municipales de Bustarviejo con cinco concejales, lo que significaría un mejor resultado en la región que en los pasados comicios, pues se traduce en dos representantes más. El partido de Génova habría logrado un 38,91% de los votos, mientras que en la segunda plaza se situaría AVB, que se haría con tres representantes, uno menos que en la pasada ocasión en esta localidad; seguido del PSOE, que se quedaría con dos concejales (20,2%); y IU-Podemos, que conseguiría uno, con un 13,04%. "
264,Castril,95.92,A.E.N.C. | 66.67 | 9 | <null> && PSOE | 14.17 | 1 | 1 menos && PP | 10.99 | 1 | 1 menos && Cs | 7.3 | 0 | <null>,"AENC sería la fuerza política más votada en Castril, al hacerse con nueve concejales cuando el recuento de las elecciones municipales llega al 95.92% de escrutinio, lo que significaría un mejor resultado en la región que en los comicios anteriores, pues se traduce en tres representantes más. Agrupacion de Electores Nuevo Castril acapararía un 66,67% de los votos, mientras que en segundo lugar aparecería el PSOE-A, que habría conseguido un edil (14,17%); seguido del PP, con un 10,99% de los votos y un asiento. A las puertas del Salón de Plenos se quedaría Cs, como ya ocurrió en los comicios anteriores, con un 7,3%."
3522,San Justo de la Vega,70.86,PP | 46.82 | 5 | 1 más && PSOE | 18.5 | 2 | 1 menos && CONCEJO DE LA VEGA | 18.42 | 1 | <null> && Cs | 14.48 | 1 | <null>,"Cuando el recuento de votos correspondiente a las elecciones municipales alcanza el 70.86%, el PP ganaría en San Justo de la Vega con cinco concejales, lo cual supondría un representante más que durante los pasados comicios en esta localidad. La formación popular habría logrado un 46,82% de los votos, mientras que en la segunda plaza aparecería el PSOE, que se haría con dos concejales, uno menos que en la pasada ocasión en esta localidad; seguido de CONCEJO DE LA VEGA, que se quedaría con un concejal (18,42%); y Cs, que conseguiría uno, con un 14,48%. "
7358,Abanilla,90.69,PSOE | 47.54 | 6 | 1 menos && PP | 44.7 | 6 | 1 más && IUMA | 7.4 | 1 | 0,"El PSOE y el PP empatarían a seis concejales en Abanilla cuando el recuento de votos emitidos en las elecciones municipales alcanza el 90.69%. En términos porcentuales, la formación socialista sería la fuerza política preferida, con un 47,45%, lo que significaría un representante menos que durante los pasados comicios en este municipio. El mismo número de ediles obtendría el partido de Génova pese a hacerse con un porcentaje menor, del 44,62%, mientras que IUMA se haría con un concejal y un 7,38% de los votos. "
6430,Sobrado,38.01,PSOE | 72.58 | 7 | 4 más && PP | 23.76 | 2 | 2 menos && BNG | 3.05 | 0 | <null>,"Cuando el recuento de votos correspondiente a las elecciones municipales alcanza el 38.01%, el PsdeG-PSOE triunfaría en Sobrado con siete concejales, lo cual supondría tres representantes más que en los pasados comicios. La organización de Ferraz habría obtenido un 72,58% de los votos, mientras que en segundo lugar aparecería el PP, que obtendría dos representantes, uno menos que en la pasada ocasión en este municipio. Fuera estaría BNG, como ya ocurrió en los comicios anteriores, al recabar un 3,05% de apoyos."
450,Nerva,11.98,PSOE | 46.9 | 7 | 0 && PP | 28.42 | 4 | 2 más && ADELANTE | 18.01 | 2 | <null> && IxH | 5.62 | 0 | <null>,"El PSOE-A sería la fuerza política preferida en Nerva, al hacerse con siete concejales cuando el recuento de las elecciones municipales supera el 11.98% de escrutinio, lo cual se traduciría en una cantidad similar que en los pasados comicios. El 46,9% de las papeletas le habría servido a la organización de Ferraz para superar al PP y a Adelante, que obtendrían cuatro (28,42%) y dos ediles (18,01%), respectivamente. A las puertas del Salón de Plenos se quedaría IxH-Nerva, como ya ocurrió en los comicios anteriores, con un 5,62%."
5188,Prats de Lluçanès,37.74,JUNTS | 41.58 | 5 | <null> && ERC-AM | 30.86 | 3 | 3 menos && MP | 17.64 | 2 | <null> && RAP.1 | 8.45 | 1 | <null>,"Con un 37.74% de los votos escrutados, Junts per Prats vencería en las elecciones municipales de Prats de Lluçanès con cinco concejales. Gracias al 41,58% de las papeletas, la formación nacionalista se habría impuesto a ERC-AM, que con tres ediles ostentaría la segunda plaza por delante de Movem Prats, con dos; y República Activa de Prats de Lluçanès, que obtendría un representante. "
6669,"Álamo, El",66.77,PP | 31.23 | 5 | <null> && PSOE | 29.61 | 4 | <null> && Cs | 12.04 | 1 | <null> && VOX | 8.27 | 1 | <null> && PODEMOS | 7.02 | 1 | <null> && ACALA | 6.42 | 1 | <null> && COMPROMISO POR EL ALAMO | 4.55 | 0 | <null>,"El PP sería la fuerza política preferida en El Álamo, al hacerse con cinco concejales cuando el recuento de las elecciones municipales alcanza el 66.77% de escrutinio, lo que significaría un representante menos que durante los anteriores comicios en este municipio. El partido de Génova habría obtenido un 31,22% de los votos, mientras que en la segunda plaza se situaría el PSOE, que con cuatro ediles conseguiría uno más que en las pasadas votaciones en esta localidad; seguido de Cs, con uno. El cuarto lugar lo ocuparía Vox, que se habría hecho con uno, seguido de Podemos —7,02%— que consigue uno y de ACALA —6,42%— con uno. A las puertas del Salón de Plenos se quedaría Compromíso por el Álamo, como ya ocurrió en los comicios anteriores, con un 4,55%."
1673,Moya,91.04,PP | 65.77 | 10 | 0 && PSOE | 20.69 | 3 | 2 más && CC - UxGC | 5.34 | 0 | <null> && Cs | 4.02 | 0 | <null> && NC-FA | 3.45 | 0 | 0,"El PP sería la fuerza política más votada en Moya, al hacerse con 10 concejales cuando el recuento de las elecciones municipales llega al 91.04% de escrutinio, lo cual significaría el mismo número de representantes que durante la pasada edición de los comicios en esta localidad. Atendiendo a los datos que se conocen en este momento, la primera plaza ocupada por la formación popular se correspondería con el 65,77% de los votos. El segundo puesto quedaría en manos del PSOE, que con tres ediles, obtendría dos más que en las anteriores votaciones en esta localidad. Peor suerte correrían CC-UxGC, que con un 5,34% no se sentaría en el Salón de Plenos; y Cs, que nuevamente se quedaría a las puertas del concejo municipal al obtener el 4,02%."
6608,Bueu,13.64,BNG | 44.48 | 8 | 4 menos && PP | 29.94 | 6 | 3 más && PSOE | 13.6 | 2 | 1 más && MAREAS  LOCAIS | 6.62 | 1 | <null> && Cs | 4.51 | 0 | <null>,"BNG sería la fuerza política más votada en Bueu, al hacerse con ocho concejales cuando el recuento de las elecciones municipales supera el 13.64% de escrutinio, lo cual se traduciría en cuatro asientos menos que durante los anteriores comicios en esta localidad. Gracias al 44,48% de las papeletas, la formación nacionalista gallega se habría impuesto al PP, que con seis ediles ostentaría la segunda plaza por delante del PsdeG-PSOE, con dos, uno más que en los sufragios anteriores; y ACB, que obtendría un miembro del Ayuntamiento. A las puertas del Salón de Plenos se quedaría Cs, como ya ocurrió en los comicios anteriores, con un 4,51%."
6513,Allariz,91.7,BNG | 62.11 | 9 | 0 && PP | 22.8 | 3 | 0 && PSOE | 13.65 | 1 | 0,"Cuando el recuento de votos correspondiente a las elecciones municipales alcanza el 91.7%, BNG vencería en Allariz con nueve concejales, lo que significaría el mismo número de representantes que durante los anteriores comicios en esta localidad. El 62,11% de las papeletas le habría servido a la formación nacionalista gallega para superar al PP y al PsdeG-PSOE, que obtendrían tres (22,8%) y un edil (13,65%), respectivamente. "
2625,Escalona,73.55,PSOE | 82.41 | 9 | 0 && PP | 16.59 | 2 | 0,"Cuando el recuento de votos correspondiente a las elecciones municipales alcanza el 73.55%, el PSOE ganaría en Escalona con nueve concejales, lo cual se traduciría en una cantidad similar que en los pasados comicios. La formación socialista habría obtenido un 82,41% de los votos, mientras que en segundo lugar aparecería el PP, que con dos ediles lograría el mismo número que en las pasadas votaciones en el municipio. "
